,Customer_name,Description,Material Group,Invoice_Quantity,Unit_Weight(Grams),Part_Size,Net_Weight(KG),Sales_Amount_(INR),Material_Cost,Sales_Person,Sub_Group,Sub_Group_Description,clusters,Clus_kmeans,sil_width
459,SUNSHINE AGENCIES (INDIA) LLP,SHCS M20X120 12.9 H/T BLACK*,SHCS,120,341,Extra Heavy,40.92,10344.58,6615.6,DEEPALI WALIA,SHCS,ALLOY STEEL,8,2,0.075052149
460,SANGHVI ENTERPRISES,SHCS M5X70 12.9 H/T BLACK*,SHCS,1500,11.71333333,Medium,17.57,10315.87,2865,DEEPALI WALIA,SHCS,ALLOY STEEL,8,0,0.817305654
461,VIKAS INDUSTRIAL SUPPLERS PVT LTD,SHCS M8  x  16 12.9 F/T BLACK *,SHCS,4000,12.1,Medium,48.4,10299.7,7640,DEEPALI WALIA,SHCS,ALLOY STEEL,8,0,0.758035292
462,NAV BHARAT SUPPLY STORE,SHCS M20  x  140 12.9 H/T BLACK *,SHCS,105,391.047619,Extra Heavy,41.06,10294.29,6638.1,JYOTI KAWATRA,SHCS,ALLOY STEEL,8,2,0.313883837
463,VISHVA CORPORATION,SHCS M8  x  55 12.9 H/T BLACK *,SHCS,2000,26.9,Heavy,53.8,10280.65,8480,DEEPALI WALIA,SHCS,ALLOY STEEL,8,0,0.803493097
464,SANDEEP ENGINEERING,HHS M22X50 GR 10.9 BLACK*,HEX HEAD,240,234.4166667,Extra Heavy,56.26,10247.04,11004,JYOTI KAWATRA,HEX HEAD,ALLOY STEEL,8,0,0.456554908
465,M/S PANCHSHEEL ASSOCIATES,SHCS M5  x  30 12.9 H/T BLACK *,SHCS,5000,5.55,Extra Light,27.75,10227.36,4500,JYOTI KAWATRA,SHCS,ALLOY STEEL,8,0,0.730853192
466,VARDHMAN HARDWARE STORE,SHCS 5/16 BSW x 1  F/T BLK *,SHCS,3200,12.51875,Medium,40.06,10227.36,6112,JYOTI KAWATRA,SHCS,ALLOY STEEL,8,0,0.782405934
467,ARCHANA SALES CORPORATION,CSK M8  x  16 12.9 F/T BLACK *,CSK,3200,7.35,Medium,23.52,10216.87,3520,JYOTI KAWATRA,CSK,ALLOY STEEL,8,0,0.783180331
468,MANOJ TRADERS,HHB M16X90 GR 10.9 BLACK*,HEX HEAD,350,168.0857143,Extra Heavy,58.83,10200.16,9516.5,JYOTI KAWATRA,HEX HEAD,ALLOY STEEL,8,0,0.652128403
469,MANOJ TRADERS,SHCS M8  x  120 12.9 H/T BLACK *,SHCS,500,55,Heavy,27.5,10180.64,4335,JYOTI KAWATRA,SHCS,ALLOY STEEL,8,0,0.820852693
470,SUNSHINE AGENCIES (INDIA) LLP,CSK M16  x  65 12.9 F/T BLACK *,CSK,300,100.1666667,Extra Heavy,30.05,10179.17,4365,DEEPALI WALIA,CSK,ALLOY STEEL,8,0,0.783168833
471,UNIVERSAL PRECISION SCREWS,HHB M16X75 GR 10.9 BLACK*,HEX HEAD,480,144.7916667,Extra Heavy,69.5,10061.18,11400,DEEPALI WALIA,HEX HEAD,ALLOY STEEL,8,0,0.692971701
472,SUNRISE FASTENERS,SHCS M16  x  180 12.9 H/T BLACK *,SHCS,80,314,Extra Heavy,25.12,10048.32,3831.2,JYOTI KAWATRA,SHCS,ALLOY STEEL,8,0,0.092190603
473,GAUTAM TRADING CO.,SHCS M12  x  50 12.9 F/T BLACK *,SHCS,1000,54.5,Heavy,54.5,10039.35,8310,JYOTI KAWATRA,SHCS,ALLOY STEEL,8,0,0.809246041
474,SUNSHINE AGENCIES (INDIA) LLP,SHCS M12  x  90 12.9 H/T BLACK *,SHCS,500,89.1,Extra Heavy,44.55,10038.87,6795,DEEPALI WALIA,SHCS,ALLOY STEEL,8,0,0.791449415
475,SUNRISE FASTENERS,CSK M8  x  20 12.9 F/T BLACK *,CSK,3200,8.6,Medium,27.52,10032,4352,JYOTI KAWATRA,CSK,ALLOY STEEL,8,0,0.783600354
476,M/S WELDOLLOYS,HHB M20X100 GR 10.9 BLACK*,HEX HEAD,200,299.2,Extra Heavy,59.84,9979.54,9368,DEEPALI WALIA,HEX HEAD,ALLOY STEEL,8,0,0.170284019
477,MANOJ TRADERS,HHB M8X65 GR 10.9 BLACK*,HEX HEAD,2000,29.12,Heavy,58.24,9965.12,9640,JYOTI KAWATRA,HEX HEAD,ALLOY STEEL,8,0,0.799940774
478,UNIVERSAL PRECISION SCREWS,HHB M20X260 GR 10.9 BLACK*,HEX HEAD,72,680.2777778,Extra Heavy,48.98,9902.79,7282.08,DEEPALI WALIA,HEX HEAD,ALLOY STEEL,8,2,0.588391234
479,SANGHVI ENTERPRISES,SHCS M6  x  40 12.9 H/T BLACK *,SHCS,3000,11,Medium,33,9893,4980,DEEPALI WALIA,SHCS,ALLOY STEEL,8,0,0.788926138
480,UNIVERSAL PRECISION SCREWS,SHCS M24  x  200 12.9 H/T BLACK *,SHCS,40,853.75,Extra Heavy,34.15,9849.06,5303.2,DEEPALI WALIA,SHCS,ALLOY STEEL,8,2,0.536569078
481,SHREE KRISHNA ENTERPRISES,HHS M12X55 GR 10.9 BLACK*,HEX HEAD,1000,55.31,Heavy,55.31,9826.62,9380,JYOTI KAWATRA,HEX HEAD,ALLOY STEEL,8,0,0.806131343
482,ARCHANA SALES CORPORATION,SHCS M6  x  16 12.9 F/T BLACK *,SHCS,5000,5.75,Extra Light,28.75,9817.61,4700,JYOTI KAWATRA,SHCS,ALLOY STEEL,8,0,0.731081412
483,SANDEEP ENGINEERING,SHCS M12  x 70 12.9 H/T BLACK *,SHCS,750,71.30666667,Heavy,53.48,9711,8152.5,JYOTI KAWATRA,SHCS,ALLOY STEEL,8,0,0.8019112
484,MANOJ TRADERS,HHB M10X45 GR 10.9 BLACK*,HEX HEAD,1500,34.83333333,Heavy,52.25,9696.45,8835,JYOTI KAWATRA,HEX HEAD,ALLOY STEEL,8,0,0.810208604
485,AMBAY TRADING  CO.,SHCS 5/16 BSW x 1  F/T BLK *,SHCS,3200,12.51875,Medium,40.06,9672,6112,JYOTI KAWATRA,SHCS,ALLOY STEEL,8,0,0.782959831
486,SAPANI FASTENERS,HHB M20X260 GR 10.9 BLACK*,HEX HEAD,60,680.3333333,Extra Heavy,40.82,9661.12,6068.4,DEEPALI WALIA,HEX HEAD,ALLOY STEEL,8,2,0.587785914
487,MANOJ TRADERS,HEX NUT M14X2 GR10*,NUT,2000,25,Heavy,50,9645.65,5100,JYOTI KAWATRA,NUT,ALLOY STEEL,8,0,0.81008971
488,FAIRDEAL ENTERPRISES,HHS M12X30 GR 10.9 BLACK*,HEX HEAD,1500,37.57333333,Heavy,56.36,9639.3,10020,DEEPALI WALIA,HEX HEAD,ALLOY STEEL,8,0,0.805527807
489,JAY AMBAY ENTERPRISES,ALLEN KEY SHORT   M19 BLK *,ALLEN KEY,40,618.5,Extra Heavy,24.74,9623.17,7420.8,JYOTI KAWATRA,ALLEN KEY,ALLOY STEEL,8,2,0.594309297
490,S.B. TRADING,SHCS 5/8 BSW X 10 H/T BLK*,SHCS,40,417,Extra Heavy,16.68,9599.8,2543.2,JYOTI KAWATRA,SHCS,ALLOY STEEL,8,2,0.38998347
491,AHIRWAL TRADING & MILL STORE,SHCS M10  x  40 12.9 F/T BLACK *,SHCS,1600,32.9,Heavy,52.64,9596.12,8032,JYOTI KAWATRA,SHCS,ALLOY STEEL,8,0,0.81115678
492,GAUTAM TRADING CO.,SHCS M20X90 12.9 H/T BLACK*,SHCS,150,266,Extra Heavy,39.9,9573.58,6451.5,JYOTI KAWATRA,SHCS,ALLOY STEEL,8,0,0.338883445
493,NATIONAL ENGINEERING INDUSTRIES LTD,"M12X1.25X38 KNURLED HUB BOLT,Zn PL*",SPL,580,40,Heavy,23.2,9564.2,5887,Kamal Gupta,SPL,ALLOY STEEL,8,0,0.824364814
494,UNIVERSAL PRECISION SCREWS,SHCS M8X100 12.9 H/T BLACK*,SHCS,800,45,Heavy,36,9562.56,4800,DEEPALI WALIA,SHCS,ALLOY STEEL,8,0,0.82444507
495,PRECISION INDUSTRIAL PRODUCTS,SHCS M10  x  30 12.9 F/T BLACK *,SHCS,2100,27.9,Heavy,58.59,9550.17,8925,DEEPALI WALIA,SHCS,ALLOY STEEL,8,0,0.800417053
496,M/S RAJESH ENTERPRISES,SHCS M12  x  35 12.9 F/T BLACK *,SHCS,1025,42.89756098,Heavy,43.97,9535.57,6078.25,JYOTI KAWATRA,SHCS,ALLOY STEEL,8,0,0.820966911
497,NAV BHARAT SUPPLY STORE,SHCS M20  x  130 12.9 H/T BLACK *,SHCS,105,398.6666667,Extra Heavy,41.86,9528.86,6212.85,JYOTI KAWATRA,SHCS,ALLOY STEEL,8,2,0.341221763
498,UNIVERSAL PRECISION SCREWS,SHCS M12  x  130 12.9 H/T BLACK *,SHCS,300,125,Extra Heavy,37.5,9523.08,5718,DEEPALI WALIA,SHCS,ALLOY STEEL,8,0,0.747594076
499,MANOJ TRADERS,HHB M30X130 GR 10.9 BLACK*,HEX HEAD,44,911.3636364,Extra Heavy,40.1,9512.59,8278.6,JYOTI KAWATRA,HEX HEAD,ALLOY STEEL,8,2,0.517445203
500,MANOJ TRADERS,SHCS M6  x  25 12.9 F/T BLACK *,SHCS,4000,7.59,Medium,30.36,9499.6,4920,JYOTI KAWATRA,SHCS,ALLOY STEEL,8,0,0.761528643
501,MANOJ TRADERS,CSK M12X60 12.9 F/T BLACK*,CSK,500,54,Heavy,27,9496.42,4120,JYOTI KAWATRA,CSK,ALLOY STEEL,8,0,0.822936574
502,UNIVERSAL PRECISION SCREWS,SSS M3X3 KCP BLK *,SSS,8000,0.12,Extra Light,0.96,9452.8,2160,DEEPALI WALIA,SSS,ALLOY STEEL,8,0,0.635548293
503,GAUTAM TRADING CO.,SHCS M16  x  75 12.9 H/T BLACK *,SHCS,320,140.03125,Extra Heavy,44.81,9447.78,7126.4,JYOTI KAWATRA,SHCS,ALLOY STEEL,8,0,0.718706183
504,FAIRDEAL ENTERPRISES,HHB M14X100 GR 10.9 BLACK*,HEX HEAD,371,136.4690027,Extra Heavy,50.63,9443.42,8288.14,DEEPALI WALIA,HEX HEAD,ALLOY STEEL,8,0,0.721978889
505,V.S ENTERPRISES,SHCS 3/8 BSW X 1-1/4 F/T BLK*,SHCS,2000,23.47,Medium,46.94,9349.6,7160,JYOTI KAWATRA,SHCS,ALLOY STEEL,8,0,0.808697524
506,FAIRDEAL ENTERPRISES,HHS M8X25 GR 10.9 BLACK*,HEX HEAD,4000,13.73,Medium,54.92,9334.5,9880,DEEPALI WALIA,HEX HEAD,ALLOY STEEL,8,0,0.754697021
507,MOHIT SALES AGENCIES,SHCS M16  x  50 12.9 F/T BLACK *,SHCS,420,106,Extra Heavy,44.52,9324.8,6791.4,JYOTI KAWATRA,SHCS,ALLOY STEEL,8,0,0.773093229
508,SML ISUZU LIMITED,M5x29.5 SPL HEX FLANGE BOLT*,SPL,3000,10.6,Medium,31.8,9300,5250,mohit sharma,FL.BOLT,ALLOY STEEL,8,0,0.789368706
509,TECHNO CENTER,CSK M6  x  10 12.9 F/T BLACK *,CSK,4000,2.7,Extra Light,10.8,9228,1640,JYOTI KAWATRA,CSK,ALLOY STEEL,8,0,0.759666952
510,SANGHVI ENTERPRISES,SHCS M5  x  55 12.9 H/T BLACK *,SHCS,2000,9.4,Medium,18.8,9198.07,3060,DEEPALI WALIA,SHCS,ALLOY STEEL,8,0,0.811598617
511,SUNRISE FASTENERS,SHCS M6X80 12.9 H/T BLACK*,SHCS,1000,19.8,Medium,19.8,9195,3220,JYOTI KAWATRA,SHCS,ALLOY STEEL,8,0,0.825905495
512,NAV BHARAT SUPPLY STORE,CSK M16X100 12.9 F/T BLACK*,CSK,160,140.625,Extra Heavy,22.5,9187.18,3430.4,JYOTI KAWATRA,CSK,ALLOY STEEL,8,0,0.721962574
513,KISHAN ENTERPRISES,HHS M8X16 GR 10.9 BLACK*,HEX HEAD,4000,10.94,Medium,43.76,9182.1,8240,JYOTI KAWATRA,HEX HEAD,ALLOY STEEL,8,0,0.758597426
514,KISHAN ENTERPRISES,HHS M8X16 GR 10.9 BLACK*,HEX HEAD,4000,10.94,Medium,43.76,9182.1,8240,JYOTI KAWATRA,HEX HEAD,ALLOY STEEL,8,0,0.758597426
515,ROYAL FASTENERS,HEX NUT M30X3.5 GR10*,NUT,200,231.7,Extra Heavy,46.34,9171.6,5980,JYOTI KAWATRA,NUT,ALLOY STEEL,8,0,0.475797593
516,KAMBOJ TOOLS SYNDICATE,SHCS M16X280 12.9 H/T BLACK*,SHCS,30,474,Extra Heavy,14.22,9152.6,2168.7,JYOTI KAWATRA,SHCS,ALLOY STEEL,8,2,0.502894161
517,FAIRDEAL ENTERPRISES,HHS M10X45 GR 10.9 BLACK*,HEX HEAD,1500,33.03333333,Heavy,49.55,9144,8370,DEEPALI WALIA,HEX HEAD,ALLOY STEEL,8,0,0.812929245
518,SANDEEP ENGINEERING,HHS M16X50 GR 10.9 BLACK*,HEX HEAD,560,104.0535714,Extra Heavy,58.27,9137.52,9839.2,JYOTI KAWATRA,HEX HEAD,ALLOY STEEL,8,0,0.765273063
519,INDIAN TRADING CORPORATION,SHCS M5  x  60 12.9 H/T BLACK *,SHCS,1600,10.16875,Medium,16.27,9133.84,2432,JYOTI KAWATRA,SHCS,ALLOY STEEL,8,0,0.817616488
520,SANGHVI ENTERPRISES,SHCS M12  x  75 12.9 H/T BLACK *,SHCS,600,76.6,Heavy,45.96,9123.99,7026,DEEPALI WALIA,SHCS,ALLOY STEEL,8,0,0.80347719
521,UNIVERSAL PRECISION SCREWS,SHCS M12  x  35 12.9 F/T BLACK *,SHCS,1050,42.9047619,Heavy,45.05,9116.94,6226.5,DEEPALI WALIA,SHCS,ALLOY STEEL,8,0,0.821023278
522,GAUTAM TRADING CO.,CSK M16X40 12.9 F/T BLACK*,CSK,400,65.1,Heavy,26.04,9110.98,3972,JYOTI KAWATRA,CSK,ALLOY STEEL,8,0,0.817877251
523,M/S RAJESH ENTERPRISES,SHCS M12X55 12.9 H/T BLACK*,SHCS,800,58.9,Heavy,47.12,9098.4,6288,JYOTI KAWATRA,SHCS,ALLOY STEEL,8,0,0.815766637
524,TECHNO CENTER,SHCS M10  x  20 12.9 F/T BLACK *,SHCS,2000,22.9,Medium,45.8,9093.2,6980,JYOTI KAWATRA,SHCS,ALLOY STEEL,8,0,0.809494665
525,SUNSHINE AGENCIES (INDIA) LLP,CSK M20X70 12.9 F/T BLACK*,CSK,140,164,Extra Heavy,22.96,9081.11,3712.8,DEEPALI WALIA,CSK,ALLOY STEEL,8,0,0.673539176
526,FAIRDEAL ENTERPRISES,HHB M12X70 GR 10.9 BLACK*,HEX HEAD,750,71.73333333,Heavy,53.8,9077.32,8872.5,DEEPALI WALIA,HEX HEAD,ALLOY STEEL,8,0,0.800546383
527,VIKAS INDUSTRIAL SUPPLERS PVT LTD,SHCS M10  x  50 12.9 H/T BLACK *,SHCS,1250,39.304,Heavy,49.13,9072.56,7487.5,DEEPALI WALIA,SHCS,ALLOY STEEL,8,0,0.816870477
528,VISHVA CORPORATION,SHCS M4  x  10 12.9 F/T BLACK *,SHCS,5000,1.8,Extra Light,9,9064.62,1400,DEEPALI WALIA,SHCS,ALLOY STEEL,8,0,0.729638953
529,DEV ENTERPRISE CORPORATION,HEX NUT M36X4 GR10*,NUT,105,398.1904762,Extra Heavy,41.81,9059.02,5392.8,DEEPALI WALIA,NUT,ALLOY STEEL,8,2,0.339495665
530,UNIVERSAL PRECISION SCREWS,SHCS M12X240 12.9 H/T BLACK*,SHCS,69,235.0724638,Extra Heavy,16.22,9057.22,2472.96,DEEPALI WALIA,SHCS,ALLOY STEEL,8,0,0.46594181
531,KAMBOJ TOOLS SYNDICATE,SHCS M24X170 12.9 H/T BLACK*,SHCS,30,723,Extra Heavy,21.69,9016.79,3506.7,JYOTI KAWATRA,SHCS,ALLOY STEEL,8,2,0.57400464
532,SUNSHINE AGENCIES (INDIA) LLP,HHS M16X80 GR 10.9 BLACK *,HEX HEAD,320,143.34375,Extra Heavy,45.87,9011.62,7465.6,DEEPALI WALIA,HEX HEAD,ALLOY STEEL,8,0,0.712224554
533,MANOJ TRADERS,HHS M10X130 GR 10.9 BLACK*,HEX HEAD,480,78.58333333,Heavy,37.72,8907.78,4377.6,JYOTI KAWATRA,HEX HEAD,ALLOY STEEL,8,0,0.807295208
534,SHREE KRISHNA ENTERPRISES,HHS M6X25 GR 10.9 BLACK*,HEX HEAD,5000,6.94,Medium,34.7,8890,4200,JYOTI KAWATRA,HEX HEAD,ALLOY STEEL,8,0,0.731515386
535,BENSONS FASTNERS & PRECESSION ENGG,HHS M24X120 GR 10.9 BLACK*,HEX HEAD,98,484.6938776,Extra Heavy,47.5,8882.4,8155.56,JYOTI KAWATRA,HEX HEAD,ALLOY STEEL,8,2,0.522568406
536,DIVIYA ENTERPRISES,SHCS M12  x  150 12.9 H/T BLACK *,SHCS,200,145,Extra Heavy,29,8873.49,4422,JYOTI KAWATRA,SHCS,ALLOY STEEL,8,0,0.714008788
537,GAUTAM TRADING CO.,SHCS M12  x  150 12.9 H/T BLACK *,SHCS,200,145,Extra Heavy,29,8873.49,4422,JYOTI KAWATRA,SHCS,ALLOY STEEL,8,0,0.714008788
538,DEV ENTERPRISE CORPORATION,SHCS M20  x  140 12.9 H/T BLACK *,SHCS,90,391.1111111,Extra Heavy,35.2,8832.01,5689.8,DEEPALI WALIA,SHCS,ALLOY STEEL,8,2,0.314705033
539,KUSHAL FASTNERS,HHS M12X50 GR 10.9 BLACK*,HEX HEAD,1000,51.76,Heavy,51.76,8796.2,8840,DEEPALI WALIA,HEX HEAD,ALLOY STEEL,8,0,0.811488845
540,NEHAL TOOLS,SHCS M16  x  50 12.9 F/T BLACK *,SHCS,420,106,Extra Heavy,44.52,8747.33,6791.4,DEEPALI WALIA,SHCS,ALLOY STEEL,8,0,0.773849215
541,TOOLS SOLUTIONS,SHCS M16X150 12.9 H/T BLACK*,SHCS,150,266,Extra Heavy,39.9,8746.33,6085.5,JYOTI KAWATRA,SHCS,ALLOY STEEL,8,0,0.33981687
542,MANOJ TRADERS,SHCS 1/2 BSW x 1 1/2  F/T BLK *,SHCS,800,47.2375,Heavy,37.79,8732.52,5760,JYOTI KAWATRA,SHCS,ALLOY STEEL,8,0,0.823880274
543,S.B. TRADING,SHCS 1/2 BSW x 1 1/2  F/T BLK *,SHCS,800,47.2375,Heavy,37.79,8732.52,5760,JYOTI KAWATRA,SHCS,ALLOY STEEL,8,0,0.823880274
544,UNIVERSAL PRECISION SCREWS,SHCS M10X70 12.9 H/T BLACK*,SHCS,1000,52.1,Heavy,52.1,8713.6,7950,DEEPALI WALIA,SHCS,ALLOY STEEL,8,0,0.813677226
545,PRECISION INDUSTRIAL PRODUCTS,HHS M8X35 GR 10.9 BLACK*,HEX HEAD,3000,16.84,Medium,50.52,8704.8,8790,DEEPALI WALIA,HEX HEAD,ALLOY STEEL,8,0,0.784146403
546,DIVIYA ENTERPRISES,SHCS M10X25 12.9  F/T*,SHCS,2000,25.4,Heavy,50.8,8693.15,7900,JYOTI KAWATRA,SHCS,ALLOY STEEL,8,0,0.807295838
547,ROYAL FASTENERS,SHCS M5X20 12.9 F/T BLACK*,SHCS,6000,4.01,Extra Light,24.06,8658,3600,JYOTI KAWATRA,SHCS,ALLOY STEEL,8,0,0.699958105
548,PRECISION INDUSTRIAL PRODUCTS,HHB M16X70 GR 10.9 BLACK*,HEX HEAD,400,137.05,Extra Heavy,54.82,8655.2,9040,DEEPALI WALIA,HEX HEAD,ALLOY STEEL,8,0,0.719108615
549,ARCHANA SALES CORPORATION,SHCS M24  x  200 12.9 H/T BLACK *,SHCS,30,853.6666667,Extra Heavy,25.61,8647.82,3977.4,JYOTI KAWATRA,SHCS,ALLOY STEEL,8,2,0.53526124
550,SUNRISE FASTENERS,SHCS M5X20 12.9 F/T BLACK*,SHCS,6000,4.01,Extra Light,24.06,8640,3600,JYOTI KAWATRA,SHCS,ALLOY STEEL,8,0,0.699963542
551,UNIVERSAL PRECISION SCREWS,SHCS M12X120 12.9 H/T BLACK*,SHCS,320,116,Extra Heavy,37.12,8585.47,5660.8,DEEPALI WALIA,SHCS,ALLOY STEEL,8,0,0.762902474
552,INDIAN TRADING CORPORATION,SHCS M6  x  30 12.9 F/T BLACK *,SHCS,3200,8.3,Medium,26.56,8585.2,4256,JYOTI KAWATRA,SHCS,ALLOY STEEL,8,0,0.784888389
553,MOHIT SALES AGENCIES,SHCS M14  x  130 12.9 H/T BLACK *,SHCS,160,168,Extra Heavy,26.88,8582.07,4099.2,JYOTI KAWATRA,SHCS,ALLOY STEEL,8,0,0.664937293
554,DHANKOT ENGINEERING PRIVATE LIMITED,SHCS M4  x  10 12.9 F/T BLACK *,SHCS,5000,1.8,Extra Light,9,8580,1400,DEEPALI WALIA,SHCS,ALLOY STEEL,8,0,0.729859843
555,SAPANI FASTENERS,HHB M24X110 GR 10.9 BLACK*,HEX HEAD,96,482.3958333,Extra Heavy,46.31,8559.83,7232.64,DEEPALI WALIA,HEX HEAD,ALLOY STEEL,8,2,0.520259116
556,ARCHANA SALES CORPORATION,SHCS M16  x  40 12.9 F/T BLACK *,SHCS,400,91,Extra Heavy,36.4,8555.58,5552,JYOTI KAWATRA,SHCS,ALLOY STEEL,8,0,0.794947675
557,JAY AMBAY ENTERPRISES,HHB M20X80 GR 10.9 BLACK*,HEX HEAD,200,250.7,Extra Heavy,50.14,8540.75,7982,JYOTI KAWATRA,HEX HEAD,ALLOY STEEL,8,0,0.401606138
558,JINDAL PRECISION FASTENERS,SHCS 1/2 BSW x 1 1/2  F/T BLK *,SHCS,800,47.2375,Heavy,37.79,8526.24,5760,JYOTI KAWATRA,SHCS,ALLOY STEEL,8,0,0.824206082
559,SUNSHINE AGENCIES (INDIA) LLP,SHCS M20  x  100 12.9 H/T BLACK *,SHCS,120,291,Extra Heavy,34.92,8522.93,5648.4,DEEPALI WALIA,SHCS,ALLOY STEEL,8,0,0.22006592
560,SUNSHINE AGENCIES (INDIA) LLP,SHCS M20  x  50 12.9 F/T BLACK *,SHCS,160,172,Extra Heavy,27.52,8517.56,4449.6,DEEPALI WALIA,SHCS,ALLOY STEEL,8,0,0.655374638
561,JINDAL PRECISION FASTENERS,SHCS M10X25 12.9  F/T*,SHCS,2000,25.4,Heavy,50.8,8487.8,7900,JYOTI KAWATRA,SHCS,ALLOY STEEL,8,0,0.807490839
562,AHIRWAL TRADING & MILL STORE,HHB M12X130 GR 10.9 BLACK*,HEX HEAD,400,122.85,Extra Heavy,49.14,8440.42,7784,JYOTI KAWATRA,HEX HEAD,ALLOY STEEL,8,0,0.747235861
563,SHREE KRISHNA ENTERPRISES,HHB M12X130 GR 10.9 BLACK*,HEX HEAD,400,122.85,Extra Heavy,49.14,8440.42,7784,JYOTI KAWATRA,HEX HEAD,ALLOY STEEL,8,0,0.747235861
564,MANOJ TRADERS,HHB M12X130 GR 10.9 BLACK*,HEX HEAD,400,122.85,Extra Heavy,49.14,8440.42,7784,JYOTI KAWATRA,HEX HEAD,ALLOY STEEL,8,0,0.747235861
565,SANGHVI ENTERPRISES,SHCS M16  x  70 12.9 H/T BLACK *,SHCS,300,138,Extra Heavy,41.4,8411.02,6315,DEEPALI WALIA,SHCS,ALLOY STEEL,8,0,0.725306882
566,FAIRDEAL ENTERPRISES,HHS M10X40 GR 10.9 BLACK*,HEX HEAD,1600,30.56875,Heavy,48.91,8407.4,8336,DEEPALI WALIA,HEX HEAD,ALLOY STEEL,8,0,0.812949975
567,AMBAY TRADING  CO.,SHCS M6  x  30 12.9 F/T BLACK *,SHCS,3200,8.3,Medium,26.56,8382.4,4256,JYOTI KAWATRA,SHCS,ALLOY STEEL,8,0,0.785034897
568,G.M. WELDING & MILLS STORE,CSK M16X30 12.9 F/T BLACK*,CSK,400,49.2,Heavy,19.68,8377.26,3000,JYOTI KAWATRA,CSK,ALLOY STEEL,9,0,0.826701475
569,STEEL ENGINEERING CORPORATION,HEX NUT M24X3 GR10*,NUT,400,115.45,Extra Heavy,46.18,8377.26,5956,JYOTI KAWATRA,NUT,ALLOY STEEL,8,0,0.762116101
570,G.M. WELDING & MILLS STORE,CSK M16X30 12.9 F/T BLACK*,CSK,400,49.2,Heavy,19.68,8375.95,3000,JYOTI KAWATRA,CSK,ALLOY STEEL,9,0,0.82670401
571,ARCHANA SALES CORPORATION,HHS M10X25 GR 10.9 BLACK*,HEX HEAD,2000,23.21,Medium,46.42,8339.23,8260,JYOTI KAWATRA,HEX HEAD,ALLOY STEEL,8,0,0.807735534
572,ARCHANA SALES CORPORATION,HHS M10X25 GR 10.9 BLACK*,HEX HEAD,2000,23.21,Medium,46.42,8339.23,8260,JYOTI KAWATRA,HEX HEAD,ALLOY STEEL,8,0,0.807735534
573,UNIVERSAL PRECISION SCREWS,HHB M20X160 GR 10.9 BLACK*,HEX HEAD,120,442.5,Extra Heavy,53.1,8326.08,8071.2,DEEPALI WALIA,HEX HEAD,ALLOY STEEL,8,2,0.454126096
574,SHRI BALAJI HARDWARE,SHCS M12X140 12.9 H/T BLACK*,SHCS,200,135,Extra Heavy,27,8288.1,4118,DEEPALI WALIA,SHCS,ALLOY STEEL,8,0,0.733603265
575,VISHVA CORPORATION,HHB M20X160 GR 10.9 BLACK*,HEX HEAD,105,442.4761905,Extra Heavy,46.46,8260.7,7062.3,DEEPALI WALIA,HEX HEAD,ALLOY STEEL,8,2,0.455562309
576,SUNSHINE AGENCIES (INDIA) LLP,HEX NUT M8X1.25 GR8*,NUT,10000,5.31,Extra Light,53.1,8260.56,4500,DEEPALI WALIA,NUT,ALLOY STEEL,8,0,0.57474461
577,SUNRISE FASTENERS,SHCS 1/2 BSW x 1 1/2  F/T BLK *,SHCS,800,47.2375,Heavy,37.79,8251.2,5760,JYOTI KAWATRA,SHCS,ALLOY STEEL,8,0,0.824615174
578,TECHNO CENTER,SHCS M16X160 12.9 H/T BLACK*,SHCS,75,282,Extra Heavy,21.15,8215.79,3225.75,JYOTI KAWATRA,SHCS,ALLOY STEEL,9,0,0.268181653
579,SAPANI FASTENERS,HHB M20X150 GR 10.9 BLACK*,HEX HEAD,120,418.3333333,Extra Heavy,50.2,8186.61,7656,DEEPALI WALIA,HEX HEAD,ALLOY STEEL,8,2,0.3987209
580,V.S ENTERPRISES,SHCS 1/2 BSW X 8 H/T BLK*,SHCS,90,209.5555556,Extra Heavy,18.86,8166.61,2877.3,JYOTI KAWATRA,SHCS,ALLOY STEEL,9,0,0.552447852
581,TOOLS SOLUTIONS,SHCS M16  x  70 12.9 H/T BLACK *,SHCS,300,138,Extra Heavy,41.4,8145.78,6315,JYOTI KAWATRA,SHCS,ALLOY STEEL,8,0,0.725560748
582,FAIRDEAL ENTERPRISES,HHS M12X35 GR 10.9 BLACK*,HEX HEAD,1200,41.11666667,Heavy,49.34,8138.16,8664,DEEPALI WALIA,HEX HEAD,ALLOY STEEL,8,0,0.81510702
583,HI TECH ENTERPRISE,HHB M27X200 GR 10.9 BLACK*,HEX HEAD,24,1030.833333,Extra Heavy,24.74,8107.07,4933.92,JYOTI KAWATRA,HEX HEAD,ALLOY STEEL,9,2,0.47235801
584,SANGHVI ENTERPRISES,SHCS M10  x  55 12.9 H/T BLACK *,SHCS,1000,42.5,Heavy,42.5,8093.38,6480,DEEPALI WALIA,SHCS,ALLOY STEEL,8,0,0.822995324
585,MANOJ TRADERS,HHB M18X75 GR 10.9 BLACK*,HEX HEAD,210,187.9047619,Extra Heavy,39.46,8088.34,6669.6,JYOTI KAWATRA,HEX HEAD,ALLOY STEEL,8,0,0.612814895
