,Customer_name,Description,Material Group,Invoice_Quantity,Unit_Weight(Grams),Part_Size,Net_Weight(KG),Sales_Amount_(INR),Material_Cost,Sales_Person,Sub_Group,Sub_Group_Description,clusters,Clus_kmeans,sil_width
196,UNIVERSAL PRECISION SCREWS,HHB M6X40 GR 10.9 BLACK*,HEX HEAD,14000,10.39,Medium,145.46,25754.4,25620,DEEPALI WALIA,HEX HEAD,ALLOY STEEL,14,0,0.43826599
197,UNIVERSAL PRECISION SCREWS,HEX NUT M30X3.5 GR10*,NUT,600,231.6833333,Extra Heavy,139.01,25680.48,17940,DEEPALI WALIA,NUT,ALLOY STEEL,14,0,0.401150523
198,GARRETT MOTION TECHNOLOGIES,M8x35.50 DOUBLE ENDED STUD A286*,SPL,720,12,Medium,8.64,25652.16,15940.8,MONIKA DUA,SPL,A286,14,0,0.745429999
199,SANGHVI ENTERPRISES,SHCS M5X25 12.9 F/T BLACK*,SHCS,15000,4.78,Extra Light,71.7,25273.38,10800,DEEPALI WALIA,SHCS,ALLOY STEEL,13,0,0.436445281
200,VENKATESWARA TRADING COPORATION,HEX NUT 1 UNC  GR 8*,NUT,1113,136.9991015,Extra Heavy,152.48,25227.62,19700.1,DEEPALI WALIA,NUT,ALLOY STEEL,14,0,0.607151772
201,M/S RAJESH ENTERPRISES,SHCS M20  x  70 12.9 F/T BLACK *,SHCS,450,216.0222222,Extra Heavy,97.21,25215.3,15714,JYOTI KAWATRA,SHCS,ALLOY STEEL,14,0,0.469850149
202,SANGHVI FASTENERS,HHS M24X50 GR 10.9 BLACK*,HEX HEAD,440,277.7045455,Extra Heavy,122.19,25125.21,22431.2,DEEPALI WALIA,HEX HEAD,ALLOY STEEL,14,0,0.233467859
203,SANGHVI FASTENERS,HHS M24X50 GR 10.9 BLACK*,HEX HEAD,440,277.7045455,Extra Heavy,122.19,25125.21,22431.2,DEEPALI WALIA,HEX HEAD,ALLOY STEEL,14,0,0.233467859
204,UTKAL VARIETY STORES,HHB M16X80 GR 10.9 BLACK*,HEX HEAD,920,152.5652174,Extra Heavy,140.36,25094.31,22908,JYOTI KAWATRA,HEX HEAD,ALLOY STEEL,14,0,0.577257304
205,M/S RAJESH ENTERPRISES,HHB M30X130 GR 10.9 BLACK*,HEX HEAD,125,911.44,Extra Heavy,113.93,25053.37,23518.75,JYOTI KAWATRA,HEX HEAD,ALLOY STEEL,14,2,0.511353792
